,type,year,title,trim,price,mileage
0,used,2017,Hyundai Accent ,SE ,13879,168
1,used,2015,Chevrolet Sonic ,LTZ ,8990,49000
2,used,2001,Mitsubishi Montero ,Limited ,7995,130752
3,used,2012,Scion xB ,Base ,11995,51947
4,used,2007,Rolls-Royce Phantom ,Base ,139999,14796
5,used,2015,Lamborghini Huracan ,LP 610-4 ,214999,7740
6,used,2009,Dodge Challenger ,SRT8 ,29999,5575
7,used,2007,Volkswagen Jetta ,Wolfsburg Edition PZEV ,4200,101969
8,used,2014,Ford Focus ,SE ,10995,11000
9,used,2016,Dodge Dart ,SXT ,11392,67090
10,new,2018,Ford F-150 ,XLT ,40035,5
11,new,2018,Toyota Tundra ,SR ,32339,3
12,used,2012,Toyota RAV4 ,Base ,11747,106586
13,used,2002,Saturn S-Series ,SL1 ,1875,116883
14,new,2017,Nissan Titan ,SL ,49315,7
15,used,2015,Kia Soul ,Base ,11100,40015
16,used,2003,Buick LeSabre ,Limited ,3999,92652
17,used,2015,FIAT 500e ,Battery Electric ,10495,37393
18,new,2018,Alfa Romeo Giulia ,Ti ,44540,12
19,new,2017,FIAT 124 Spider ,Classica ,25990,11
20,used,2008,Hyundai Accent ,GS ,3780,100719
21,new,2018,Subaru Outback ,3.6R Touring ,40471,8
22,new,2018,Genesis G90 ,Premium ,71845,60
23,new,2018,Hyundai Santa Fe ,Limited Ultimate ,43290,8
24,new,2018,Honda Ridgeline ,RTL-E ,42560,2580
25,used,2016,Kia Forte ,LX ,11180,55631
26,used,2002,INFINITI I35 ,Base ,2999,0
27,new,2015,INFINITI Q70 ,L ,74980,10
28,used,2015,Nissan Sentra ,SV ,13888,33524
29,used,2011,Mazda 3 ,s Sport ,8968,67965
30,used,2007,Hyundai Tucson ,SE ,7998,124071
31,used,2014,smart fortwo ,pure coupe ,5875,21746
32,used,2017,Volkswagen Jetta ,1.4T S ,11494,40351
33,used,2015,Maserati Quattroporte ,GTS ,58258,28660
34,new,2018,Jaguar F-TYPE ,R ,112083,11
35,used,2011,Toyota Venza ,Base ,10995,73000
36,used,2010,Volkswagen Jetta ,Limited Edition PZEV ,6991,73220
37,new,2018,Audi Q7 ,3.0T Premium Plus quattro ,67410,15
38,new,2018,Porsche 718 Boxster ,Base ,72910,12
39,used,2016,Hyundai Elantra ,SE ,7990,81140
40,new,2017,Volvo V60 ,T5 Premier ,45265,4971
41,used,2014,Mercedes-Benz E-Class ,E350 Sport ,32995,39900
42,new,2018,Maserati Ghibli ,Base ,76625,35
43,used,2006,Dodge Ram Pickup 1500 ,SLT ,7299,172529
44,certified,2014,Volkswagen Jetta ,S ,10397,51346
45,used,2010,Honda Civic ,LX ,7998,117079
46,used,2014,Jeep Compass ,Sport ,10888,86000
47,used,2014,Ford Focus ,SE ,8785,86538
48,used,2011,Hyundai Sonata ,GLS ,8300,66452
49,used,2008,Chrysler PT Cruiser ,Touring ,3490,99361
50,new,2018,Chrysler Pacifica Hybrid ,Limited ,47980,0
51,new,2017,Dodge Charger ,SXT ,34380,0
52,used,2012,Ford Fiesta ,SE ,7490,61305
53,new,2018,Jeep Grand Cherokee ,Trackhawk ,97525,0
54,new,2017,Ram 3500 ,Big Horn ,65775,0
55,new,2018,GMC Sierra 3500HD ,Denali ,73135,24
56,new,2017,Cadillac ATS-V ,Base ,78935,176
57,certified,2016,GMC Terrain ,SLE-1 ,18713,27200
58,new,2017,Buick Envision ,Essence ,44235,5315
59,new,2018,Mazda CX-9 ,Signature ,45310,0
60,used,2015,Chevrolet Cruze ,1LT ,12990,31321
61,used,2002,Ford Escape ,XLT Choice ,3995,147130
62,used,2012,Lexus CT 200h ,Premium ,10950,117928
63,used,2010,BMW 3 Series ,328i ,11991,77616
64,new,2018,Honda Pilot ,Touring w/Navigation and Rear Entertainment System ,42945,5
65,new,2018,Toyota 4Runner ,TRD OFF-ROAD Premium ,53317,3
66,used,2003,Toyota Corolla ,LE ,5996,163911
67,used,2017,Nissan Versa ,1.6 SV ,9495,31574
68,used,2004,INFINITI G35 ,Base ,5777,117419
69,new,2018,Ford F-150 ,XLT ,41730,0
70,used,2016,Ford Focus ,SE ,10998,42159
71,new,2018,BMW 7 Series ,M760i xDrive ,178165,3648
72,used,2009,Toyota Camry Hybrid ,Base ,8590,122889
73,used,2003,Saturn L-Series ,LW300 ,3395,109000
74,new,2017,Honda Pilot ,Elite w/Navigation and Rear Entertainment System ,48160,12
75,used,2006,Toyota Sienna ,LE 8-Passenger ,4981,173892
76,used,2009,Kia Sportage ,LX ,4672,119440
77,used,2009,Hyundai Accent ,GLS ,4494,116982
78,used,2015,Toyota Prius ,Two ,14999,30800
79,used,2006,Subaru Legacy ,2.5 GT spec.B ,10995,128000
80,used,2015,Nissan Versa Note ,1.6 SV ,9968,67188
81,used,2009,Toyota Prius ,Touring ,6890,116639
82,used,2013,MINI Cooper Clubman ,Base ,9500,61277
83,new,2018,Toyota Land Cruiser ,Base ,86230,0
84,new,2017,Honda Accord ,Touring V-6 ,35805,2
85,used,2013,Scion tC ,Base ,9900,95383
86,used,2006,Mercedes-Benz CLS-Class ,CLS500 ,9899,95598
87,new,2018,Mercedes-Benz Metris ,"126"" WB Cargo ",33752,12
